index,anon_id,year,bulk_density,sand,silt,clay,slaking_index,om_perc,ph,p_lb_a,cec_meq_100g,ca_lb_a,mg_lb_a,k_lb_a,zn_ppm,fe_ppm,mn_ppm,cu_ppm,b_ppm,so4_ppm,total_plfa_nmol_p_g_soil,am_fungi,gram_negative,eukaryote,fungi,gram_positive,actinomycetes
25,F,2022,1.308717834,35,55,10,0.85108,3.4,5.7,56,8.4,2125,206,181,0.7,36.5,6.7,0.21,0.03,1.769,63.691,2.883,20.724,0.634,1.788,11.647,8.01
85,F,2023,1.308717834,35,55,10,0.53,5.1,6,64,11.7,3421,338,163,1.1,50.9,12.4,0.3,0.87,1.944,144.476,6.402,46.824,2.839,3.051,28.45,18.09
26,F,2022,1.501730044,37.5,57.5,5,2.80801,3.5,5.4,43,9.2,2035,200,193,0.8,40.1,8.9,0.22,0.02,1.959,68.162,2.497,21.908,0.781,1.769,13.787,8.134
86,F,2023,1.501730044,37.5,57.5,5,0.61,6.2,5.6,107,13.1,3124,348,232,2.1,68.1,16,0.33,1.01,2.22,175.588,6.248,56.248,2.94,9.538,32.063,17.75
27,F,2022,1.54826076,35,57.5,7.5,1.02079,3.4,5.8,30,9,2387,197,131,0.5,28,6.2,0.2,0.52,2.485,70.877,3.175,22.238,1.064,1.42,14.143,8.654
87,F,2023,1.54826076,35,57.5,7.5,0.78,5.7,5.9,260,10.6,2699,333,338,2.9,68.4,9.4,0.49,1,2.361,140.982,5.871,45.499,2.333,2.99,27.326,16.582
28,D,2022,1.056243569,30,57.5,12.5,0.89023,5.7,5.7,65,13,3023,310,139,1.1,41.8,21,1.26,0.22,3.255,202.615,8.646,72.836,3.725,4.174,39.444,26.197
88,D,2023,1.056243569,30,57.5,12.5,0.39,5.3,5.6,80,13.2,2887,306,152,1.2,61.4,27,1.38,0.53,2.684,157.385,5.888,53.596,3.248,2.501,32.44,21.734
29,D,2022,1.268136142,25,60,15,0.64871,4.8,5.5,47,12,2909,139,114,0.9,43,19.4,1.05,0.04,2.951,151.876,6.151,55.095,2.799,1.965,29.794,20.342
89,D,2023,1.268136142,25,60,15,0.26,4.9,5.6,44,12.7,3019,131,121,0.9,61.2,26.4,1.14,0.44,2.093,225.974,9.2,74.23,3.218,2.254,48.245,30.959
